generation, energyBest, fitnessBest, fitnessMin, fitnessMax, fitnessMedian, fitnessAvg, lenghtAvg, similarityAvg, %invalid, lastChange
1, 15246.207031, 15246.207031, 15246.207031, 15843.560547, 15439.809570, 15469.102539, 23.280001, -nan, 0.860000, 0
2, 15246.207031, 15246.207031, 15246.207031, 15869.776367, 15439.809570, 15472.643555, 26.280001, 0.930410, 0.240000, 1
3, 15219.742188, 15219.742188, 15219.742188, 15876.572266, 15490.110352, 15494.722656, 25.100000, 0.933975, 0.120000, 0
4, 15210.684570, 15210.684570, 15210.684570, 15876.572266, 15482.340820, 15472.013672, 25.959999, 0.876044, 0.020000, 0
5, 15208.709961, 15208.709961, 15208.709961, 15868.798828, 15482.340820, 15443.194336, 25.080000, 0.951142, 0.020000, 0
6, 15208.709961, 15208.709961, 15208.709961, 15868.798828, 15359.206055, 15400.882812, 24.980000, 0.897843, 0.020000, 1
7, 15208.709961, 15208.709961, 15208.709961, 15876.572266, 15359.222656, 15400.378906, 26.040001, 0.893373, 0.020000, 2
8, 15161.461914, 15161.461914, 15161.461914, 15868.821289, 15363.608398, 15397.679688, 25.940001, 0.884662, 0.040000, 0
9, 15161.461914, 15161.461914, 15161.461914, 15868.821289, 15366.981445, 15411.969727, 26.520000, 0.885059, 0.040000, 1
10, 15110.803711, 15110.803711, 15110.803711, 15868.821289, 15360.484375, 15381.846680, 25.840000, 0.878440, 0.020000, 0
11, 15022.971680, 15022.971680, 15022.971680, 15546.917969, 15359.206055, 15358.846680, 26.400000, 0.832042, 0.080000, 0
12, 15022.971680, 15022.971680, 15022.971680, 15694.263672, 15358.364258, 15364.631836, 27.440001, 0.807031, 0.100000, 1
13, 15022.971680, 15022.971680, 15022.971680, 15546.750000, 15358.938477, 15358.596680, 27.299999, 0.826642, 0.060000, 2
